"","SOURCEID","pscs","X","Y","CLYPPT","CLYPPT.sd","SOURCEDB","DEPTH"
"2716","1983NV029015","LOAMY-SKELETAL",6369773.67509368,3746660.97818855,20,8,"NASIS",NA
"2717","1983NV029917","LOAMY-SKELETAL",6393929.71724956,3748528.54883193,20,8,"NASIS",NA
"2718","790195","COARSE-LOAMY",6307212.11378745,3600976.97808069,10,8,"NASIS",NA
"2719","790192","COARSE-LOAMY",6308160.16272506,3600140.73662069,10,8,"NASIS",NA
"2720","790191","SANDY-SKELETAL",6308721.76669255,3600784.92969665,6,6,"NASIS",NA
"2721","790188","COARSE-LOAMY",6310686.3605127,3602991.26571992,10,8,"NASIS",NA
"2722","790187","SANDY-SKELETAL",6308184.31439038,3601530.64889817,6,6,"NASIS",NA
"2723","790186","COARSE-LOAMY",6307256.2850007,3600021.45025766,10,8,"NASIS",NA
"2724","01ca729118-ewb","LOAMY-SKELETAL",6345842.39061852,3644321.08460999,20,8,"NASIS",NA
"2725","790201","COARSE-LOAMY",6308683.82972008,3600926.2486081,10,8,"NASIS",NA
"2726","1983NV029933","FINE-LOAMY",6372757.69691708,3731192.3009232,27,6,"NASIS",NA
"2727","1978NV029914","LOAMY",6377154.50709964,3734676.09132125,20,8,"NASIS",NA
"2728","1983NV029934","LOAMY-SKELETAL",6364291.9966153,3736731.91189367,20,8,"NASIS",NA
"2729","1983NV029903","FINE",6375151.99278049,3740254.45009336,48,9,"NASIS",NA
"2730","1983NV029938","LOAMY",6373552.24911476,3734170.76073964,20,8,"NASIS",NA
"2731","1983NV029915","LOAMY",6384749.69529394,3753283.80390889,20,8,"NASIS",NA
"2732","1983NV029939","CLAYEY",6369402.28832879,3739236.2827828,64,16,"NASIS",NA
"2733","1983NV029940","LOAMY-SKELETAL",6363324.89207147,3739587.09864247,20,8,"NASIS",NA
"2734","1983NV029908","CLAYEY",6379130.33791449,3732550.25609445,64,16,"NASIS",NA
"2735","1983NV029909","LOAMY-SKELETAL",6361394.57072399,3733796.06223387,20,8,"NASIS",NA
"2736","1983NV029910","LOAMY",6373590.55706865,3740231.20673891,20,8,"NASIS",NA
"2737","1983NV029941","LOAMY-SKELETAL",6370376.99908683,3754634.48204321,20,8,"NASIS",NA
"2738","1983NV029942","FINE-LOAMY",6365600.83731799,3736016.65591203,27,6,"NASIS",NA
"2739","1982NV029018","LOAMY-SKELETAL",6385437.4545192,3743570.32338279,20,8,"NASIS",NA
"2740","1983NV029935","LOAMY-SKELETAL",6385394.40254129,3739299.30418494,20,8,"NASIS",NA
"2741","1984NV029904","FINE",6375379.58128654,3746356.26215637,48,9,"NASIS",NA
"2742","1983NV029919","FINE",6366750.62522515,3742170.35625554,48,9,"NASIS",NA
"2743","1984NV029905","SANDY",6382956.75771506,3756769.41008875,6,6,"NASIS",NA
"2744","1984NV029906","LOAMY-SKELETAL",6395258.7325806,3756312.9995946,20,8,"NASIS",NA
"2745","1983NV029920","FINE",6374222.93882725,3732867.88470782,48,9,"NASIS",NA
"2746","1983NV029921","LOAMY-SKELETAL",6366699.81364336,3742802.7234204,20,8,"NASIS",NA
"2747","1984NV029907","FINE",6375310.85891163,3740467.04130956,48,9,"NASIS",NA
"2748","1983NV029922","SANDY",6378014.31468686,3756721.03982193,6,6,"NASIS",NA
"2749","1983NV029936","LOAMY-SKELETAL",6387070.42946091,3755355.88375768,20,8,"NASIS",NA
"2750","1983NV029924","LOAMY-SKELETAL",6363334.1116829,3740526.51843465,20,8,"NASIS",NA
